"","2021-12-2022-12"
"Annualized Returns",
"2021-12-28_to_2022-12-01_Index_3QRank","-71.812"
"2021-12-28_to_2022-12-01_Crypto10_Index","-84.748"
"Volatility",
"2021-12-28_to_2022-12-01_Index_3QRank","70.65"
"2021-12-28_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-28_to_2022-12-01_Index_3QRank","50.03"
"2021-12-28_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-28_to_2022-12-01_Index_3QRank","0.26"
"2021-12-28_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-28_to_2022-12-01_Index_3QRank","-0.36"
"2021-12-28_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-28_to_2022-12-01_Index_3QRank","0.67"
"2021-12-28_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-28_to_2022-12-01_Index_3QRank","61.27"
"2021-12-28_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-28_to_2022-12-01_Index_3QRank","-76.6575"
"2021-12-28_to_2022-12-01_Crypto10_Index","-83.0161"
