"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-03_to_2022-12-01_Index_3QRank","-75.001","-72.044"
"2021-11-03_to_2022-12-01_Crypto10_Index","-85.498","-83.703"
"Volatility",,
"2021-11-03_to_2022-12-01_Index_3QRank","76.53","73.09"
"2021-11-03_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-03_to_2022-12-01_Index_3QRank","47.09","45.66"
"2021-11-03_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-03_to_2022-12-01_Index_3QRank","0.22","0.26"
"2021-11-03_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-03_to_2022-12-01_Index_3QRank","0.34","0.66"
"2021-11-03_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-03_to_2022-12-01_Index_3QRank","0.75","0.74"
"2021-11-03_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-03_to_2022-12-01_Index_3QRank","66.17","66.05"
"2021-11-03_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-03_to_2022-12-01_Index_3QRank","-81.0223","-82.4938"
"2021-11-03_to_2022-12-01_Crypto10_Index","-85.948","-86.6628"
