"","2021-12-2022-12"
"Annualized Returns",
"2021-12-29_to_2022-12-01_Index_3QRank","-71.352"
"2021-12-29_to_2022-12-01_Crypto10_Index","-83.991"
"Volatility",
"2021-12-29_to_2022-12-01_Index_3QRank","70.73"
"2021-12-29_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-29_to_2022-12-01_Index_3QRank","49.75"
"2021-12-29_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-29_to_2022-12-01_Index_3QRank","0.25"
"2021-12-29_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-29_to_2022-12-01_Index_3QRank","-0.35"
"2021-12-29_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-29_to_2022-12-01_Index_3QRank","0.68"
"2021-12-29_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-29_to_2022-12-01_Index_3QRank","61.69"
"2021-12-29_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-29_to_2022-12-01_Index_3QRank","-76.6636"
"2021-12-29_to_2022-12-01_Crypto10_Index","-82.5191"
