"","2022-12-2021-12","2021-06-2022-12"
"Annualized Returns",,
"2021-06-28_to_2022-12-01_Index_3QRank","-82.151","-42.271"
"2021-06-28_to_2022-12-01_Crypto10_Index","-85.498","-68.484"
"Volatility",,
"2021-06-28_to_2022-12-01_Index_3QRank","81.29","92.34"
"2021-06-28_to_2022-12-01_Crypto10_Index","84.65","78.14"
"Tracking Error",,
"2021-06-28_to_2022-12-01_Index_3QRank","39.68","48.99"
"2021-06-28_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-06-28_to_2022-12-01_Index_3QRank","0.08","0.54"
"2021-06-28_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-06-28_to_2022-12-01_Index_3QRank","-0.76","5.54"
"2021-06-28_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-06-28_to_2022-12-01_Index_3QRank","0.85","1"
"2021-06-28_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-06-28_to_2022-12-01_Index_3QRank","76.19","69.98"
"2021-06-28_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-06-28_to_2022-12-01_Index_3QRank","-84.3683","-85.3386"
"2021-06-28_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
