"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-04_to_2022-12-01_Index_3QRank","-77.276","-67.823"
"2021-09-04_to_2022-12-01_Crypto10_Index","-85.498","-82.344"
"Volatility",,
"2021-09-04_to_2022-12-01_Index_3QRank","78.6","76.46"
"2021-09-04_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-04_to_2022-12-01_Index_3QRank","40.44","36.81"
"2021-09-04_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-04_to_2022-12-01_Index_3QRank","0.2","0.39"
"2021-09-04_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-04_to_2022-12-01_Index_3QRank","0.31","1.7"
"2021-09-04_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-04_to_2022-12-01_Index_3QRank","0.82","0.84"
"2021-09-04_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-04_to_2022-12-01_Index_3QRank","74.9","78.15"
"2021-09-04_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-04_to_2022-12-01_Index_3QRank","-80.7008","-82.567"
"2021-09-04_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
