"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-06_to_2022-12-01_Index_3QRank","-74.6","-71.675"
"2021-11-06_to_2022-12-01_Crypto10_Index","-85.498","-83.898"
"Volatility",,
"2021-11-06_to_2022-12-01_Index_3QRank","76.45","72.99"
"2021-11-06_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-06_to_2022-12-01_Index_3QRank","46.98","45.61"
"2021-11-06_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-06_to_2022-12-01_Index_3QRank","0.23","0.27"
"2021-11-06_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-06_to_2022-12-01_Index_3QRank","0.43","0.77"
"2021-11-06_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-06_to_2022-12-01_Index_3QRank","0.75","0.74"
"2021-11-06_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-06_to_2022-12-01_Index_3QRank","66.3","66.11"
"2021-11-06_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-06_to_2022-12-01_Index_3QRank","-80.896","-82.424"
"2021-11-06_to_2022-12-01_Crypto10_Index","-85.948","-86.6628"
