"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-01_to_2022-12-01_Index_3QRank","-79.435","-40.947"
"2021-08-01_to_2022-12-01_Crypto10_Index","-85.498","-73.479"
"Volatility",,
"2021-08-01_to_2022-12-01_Index_3QRank","81.27","76.94"
"2021-08-01_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-01_to_2022-12-01_Index_3QRank","42.39","39.43"
"2021-08-01_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-01_to_2022-12-01_Index_3QRank","0.14","0.83"
"2021-08-01_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-01_to_2022-12-01_Index_3QRank","0.12","2.81"
"2021-08-01_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-01_to_2022-12-01_Index_3QRank","0.84","0.85"
"2021-08-01_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-01_to_2022-12-01_Index_3QRank","73.04","74.19"
"2021-08-01_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-01_to_2022-12-01_Index_3QRank","-82.546","-83.6313"
"2021-08-01_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
