"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-18_to_2022-12-01_Index_3QRank","-75.816","-53.048"
"2021-08-18_to_2022-12-01_Crypto10_Index","-85.498","-75.984"
"Volatility",,
"2021-08-18_to_2022-12-01_Index_3QRank","74.97","71.77"
"2021-08-18_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-18_to_2022-12-01_Index_3QRank","46.6","41.35"
"2021-08-18_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-18_to_2022-12-01_Index_3QRank","0.21","0.55"
"2021-08-18_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-18_to_2022-12-01_Index_3QRank","-0.03","2.42"
"2021-08-18_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-18_to_2022-12-01_Index_3QRank","0.74","0.78"
"2021-08-18_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-18_to_2022-12-01_Index_3QRank","66.6","70.69"
"2021-08-18_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-18_to_2022-12-01_Index_3QRank","-81.1157","-82.7755"
"2021-08-18_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
