"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-03_to_2022-12-01_Index_3QRank","-76.001","-64.233"
"2021-10-03_to_2022-12-01_Crypto10_Index","-85.498","-78.709"
"Volatility",,
"2021-10-03_to_2022-12-01_Index_3QRank","81.18","75.9"
"2021-10-03_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-03_to_2022-12-01_Index_3QRank","46.71","44.13"
"2021-10-03_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-03_to_2022-12-01_Index_3QRank","0.2","0.33"
"2021-10-03_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-03_to_2022-12-01_Index_3QRank","0.78","2.06"
"2021-10-03_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-03_to_2022-12-01_Index_3QRank","0.81","0.81"
"2021-10-03_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-03_to_2022-12-01_Index_3QRank","67.68","67.48"
"2021-10-03_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-03_to_2022-12-01_Index_3QRank","-81.416","-82.5061"
"2021-10-03_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
