"","2022-03-2022-12"
"Annualized Returns",
"2022-03-15_to_2022-12-01_Index_3QRank","-74.689"
"2022-03-15_to_2022-12-01_Crypto10_Index","-86.943"
"Volatility",
"2022-03-15_to_2022-12-01_Index_3QRank","75.49"
"2022-03-15_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-15_to_2022-12-01_Index_3QRank","38.21"
"2022-03-15_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-15_to_2022-12-01_Index_3QRank","0.32"
"2022-03-15_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-15_to_2022-12-01_Index_3QRank","-2.68"
"2022-03-15_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-15_to_2022-12-01_Index_3QRank","0.72"
"2022-03-15_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-15_to_2022-12-01_Index_3QRank","85.37"
"2022-03-15_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-15_to_2022-12-01_Index_3QRank","-75.9033"
"2022-03-15_to_2022-12-01_Crypto10_Index","-79.9416"
