"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-10_to_2022-12-01_Index_3QRank","-78.255","-33.737"
"2021-07-10_to_2022-12-01_Crypto10_Index","-85.498","-71.082"
"Volatility",,
"2021-07-10_to_2022-12-01_Index_3QRank","84.38","95.55"
"2021-07-10_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-10_to_2022-12-01_Index_3QRank","41.93","49.74"
"2021-07-10_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-10_to_2022-12-01_Index_3QRank","0.17","0.75"
"2021-07-10_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-10_to_2022-12-01_Index_3QRank","1.18","7.19"
"2021-07-10_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-10_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-10_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-10_to_2022-12-01_Index_3QRank","74.34","70.99"
"2021-07-10_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-10_to_2022-12-01_Index_3QRank","-82.4704","-83.6085"
"2021-07-10_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
