"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-07_to_2022-12-01_Index_3QRank","-78.105","-37.479"
"2021-07-07_to_2022-12-01_Crypto10_Index","-85.498","-72.103"
"Volatility",,
"2021-07-07_to_2022-12-01_Index_3QRank","84.11","94.37"
"2021-07-07_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-07_to_2022-12-01_Index_3QRank","41.74","48.57"
"2021-07-07_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-07_to_2022-12-01_Index_3QRank","0.18","0.71"
"2021-07-07_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-07_to_2022-12-01_Index_3QRank","1.18","6.95"
"2021-07-07_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-07_to_2022-12-01_Index_3QRank","0.87","1.01"
"2021-07-07_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-07_to_2022-12-01_Index_3QRank","74.47","71.63"
"2021-07-07_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-07_to_2022-12-01_Index_3QRank","-82.3179","-83.4827"
"2021-07-07_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
