"","2022-03-2022-12"
"Annualized Returns",
"2022-03-04_to_2022-12-01_Index_3QRank","-71.599"
"2022-03-04_to_2022-12-01_Crypto10_Index","-85.117"
"Volatility",
"2022-03-04_to_2022-12-01_Index_3QRank","74.81"
"2022-03-04_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-04_to_2022-12-01_Index_3QRank","44.51"
"2022-03-04_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-04_to_2022-12-01_Index_3QRank","0.3"
"2022-03-04_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-04_to_2022-12-01_Index_3QRank","-2.1"
"2022-03-04_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-04_to_2022-12-01_Index_3QRank","0.69"
"2022-03-04_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-04_to_2022-12-01_Index_3QRank","78.06"
"2022-03-04_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-04_to_2022-12-01_Index_3QRank","-74.3548"
"2022-03-04_to_2022-12-01_Crypto10_Index","-79.9416"
