"","2022-01-2022-12"
"Annualized Returns",
"2022-01-14_to_2022-12-01_Index_3QRank","-73.871"
"2022-01-14_to_2022-12-01_Crypto10_Index","-84.953"
"Volatility",
"2022-01-14_to_2022-12-01_Index_3QRank","75.12"
"2022-01-14_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-14_to_2022-12-01_Index_3QRank","45.25"
"2022-01-14_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-14_to_2022-12-01_Index_3QRank","0.24"
"2022-01-14_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-14_to_2022-12-01_Index_3QRank","1.7"
"2022-01-14_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-14_to_2022-12-01_Index_3QRank","0.73"
"2022-01-14_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-14_to_2022-12-01_Index_3QRank","70.89"
"2022-01-14_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-14_to_2022-12-01_Index_3QRank","-75.3664"
"2022-01-14_to_2022-12-01_Crypto10_Index","-81.68"
