"","2022-12-2021-12","2021-06-2022-12"
"Annualized Returns",,
"2021-06-27_to_2022-12-01_Index_3QRank","-82.188","-41.22"
"2021-06-27_to_2022-12-01_Crypto10_Index","-85.498","-67.256"
"Volatility",,
"2021-06-27_to_2022-12-01_Index_3QRank","81.39","92.36"
"2021-06-27_to_2022-12-01_Crypto10_Index","84.65","78.14"
"Tracking Error",,
"2021-06-27_to_2022-12-01_Index_3QRank","39.73","48.96"
"2021-06-27_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-06-27_to_2022-12-01_Index_3QRank","0.08","0.53"
"2021-06-27_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-06-27_to_2022-12-01_Index_3QRank","-0.75","5.56"
"2021-06-27_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-06-27_to_2022-12-01_Index_3QRank","0.85","1"
"2021-06-27_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-06-27_to_2022-12-01_Index_3QRank","76.15","70.03"
"2021-06-27_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-06-27_to_2022-12-01_Index_3QRank","-84.3989","-85.3563"
"2021-06-27_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
