"","2022-03-2022-12"
"Annualized Returns",
"2022-03-09_to_2022-12-01_Index_3QRank","-76.354"
"2022-03-09_to_2022-12-01_Crypto10_Index","-86.17"
"Volatility",
"2022-03-09_to_2022-12-01_Index_3QRank","70.75"
"2022-03-09_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-09_to_2022-12-01_Index_3QRank","42.74"
"2022-03-09_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-09_to_2022-12-01_Index_3QRank","0.23"
"2022-03-09_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-09_to_2022-12-01_Index_3QRank","-3.67"
"2022-03-09_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-09_to_2022-12-01_Index_3QRank","0.67"
"2022-03-09_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-09_to_2022-12-01_Index_3QRank","82.37"
"2022-03-09_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-09_to_2022-12-01_Index_3QRank","-75.6516"
"2022-03-09_to_2022-12-01_Crypto10_Index","-79.9416"
