"","2022-01-2022-12"
"Annualized Returns",
"2022-01-24_to_2022-12-01_Index_3QRank","-63.298"
"2022-01-24_to_2022-12-01_Crypto10_Index","-78.53"
"Volatility",
"2022-01-24_to_2022-12-01_Index_3QRank","76.05"
"2022-01-24_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-24_to_2022-12-01_Index_3QRank","44.13"
"2022-01-24_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-24_to_2022-12-01_Index_3QRank","0.35"
"2022-01-24_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-24_to_2022-12-01_Index_3QRank","1.76"
"2022-01-24_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-24_to_2022-12-01_Index_3QRank","0.74"
"2022-01-24_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-24_to_2022-12-01_Index_3QRank","72.3"
"2022-01-24_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-24_to_2022-12-01_Index_3QRank","-73.0421"
"2022-01-24_to_2022-12-01_Crypto10_Index","-81.2244"
