"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-01_to_2022-12-01_Index_3QRank","-78.271","-33.793"
"2021-07-01_to_2022-12-01_Crypto10_Index","-85.498","-69.506"
"Volatility",,
"2021-07-01_to_2022-12-01_Index_3QRank","84.45","95.33"
"2021-07-01_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-01_to_2022-12-01_Index_3QRank","41.93","49.64"
"2021-07-01_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-01_to_2022-12-01_Index_3QRank","0.17","0.72"
"2021-07-01_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-01_to_2022-12-01_Index_3QRank","1.18","7.15"
"2021-07-01_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-01_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-01_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-01_to_2022-12-01_Index_3QRank","74.35","70.98"
"2021-07-01_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-01_to_2022-12-01_Index_3QRank","-82.4706","-83.559"
"2021-07-01_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
