"","2022-02-2022-12"
"Annualized Returns",
"2022-02-19_to_2022-12-01_Index_3QRank","-72.932"
"2022-02-19_to_2022-12-01_Crypto10_Index","-86.047"
"Volatility",
"2022-02-19_to_2022-12-01_Index_3QRank","79.92"
"2022-02-19_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-19_to_2022-12-01_Index_3QRank","38.71"
"2022-02-19_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-19_to_2022-12-01_Index_3QRank","0.34"
"2022-02-19_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-19_to_2022-12-01_Index_3QRank","0.84"
"2022-02-19_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-19_to_2022-12-01_Index_3QRank","0.78"
"2022-02-19_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-19_to_2022-12-01_Index_3QRank","80.62"
"2022-02-19_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-19_to_2022-12-01_Index_3QRank","-74.6839"
"2022-02-19_to_2022-12-01_Crypto10_Index","-79.9416"
