"","2022-12-2021-12","2021-06-2022-12"
"Annualized Returns",,
"2021-06-30_to_2022-12-01_Index_3QRank","-82.065","-44.543"
"2021-06-30_to_2022-12-01_Crypto10_Index","-85.498","-70.199"
"Volatility",,
"2021-06-30_to_2022-12-01_Index_3QRank","81.14","91.85"
"2021-06-30_to_2022-12-01_Crypto10_Index","84.65","78.14"
"Tracking Error",,
"2021-06-30_to_2022-12-01_Index_3QRank","39.66","48.53"
"2021-06-30_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-06-30_to_2022-12-01_Index_3QRank","0.09","0.53"
"2021-06-30_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-06-30_to_2022-12-01_Index_3QRank","-0.77","5.47"
"2021-06-30_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-06-30_to_2022-12-01_Index_3QRank","0.85","1"
"2021-06-30_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-06-30_to_2022-12-01_Index_3QRank","76.19","70.22"
"2021-06-30_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-06-30_to_2022-12-01_Index_3QRank","-84.3001","-85.2854"
"2021-06-30_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
