"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-07_to_2022-12-01_Index_3QRank","-74.449","-72.28"
"2021-11-07_to_2022-12-01_Crypto10_Index","-85.498","-83.974"
"Volatility",,
"2021-11-07_to_2022-12-01_Index_3QRank","76.18","72.74"
"2021-11-07_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-07_to_2022-12-01_Index_3QRank","46.96","45.59"
"2021-11-07_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-07_to_2022-12-01_Index_3QRank","0.24","0.26"
"2021-11-07_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-07_to_2022-12-01_Index_3QRank","0.43","0.77"
"2021-11-07_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-07_to_2022-12-01_Index_3QRank","0.75","0.74"
"2021-11-07_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-07_to_2022-12-01_Index_3QRank","66.28","66.1"
"2021-11-07_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-07_to_2022-12-01_Index_3QRank","-80.8174","-82.4226"
"2021-11-07_to_2022-12-01_Crypto10_Index","-85.948","-86.6628"
