"","2022-02-2022-12"
"Annualized Returns",
"2022-02-23_to_2022-12-01_Index_3QRank","-71.602"
"2022-02-23_to_2022-12-01_Crypto10_Index","-85.048"
"Volatility",
"2022-02-23_to_2022-12-01_Index_3QRank","78.78"
"2022-02-23_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-23_to_2022-12-01_Index_3QRank","39.85"
"2022-02-23_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-23_to_2022-12-01_Index_3QRank","0.34"
"2022-02-23_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-23_to_2022-12-01_Index_3QRank","0.15"
"2022-02-23_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-23_to_2022-12-01_Index_3QRank","0.77"
"2022-02-23_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-23_to_2022-12-01_Index_3QRank","79.54"
"2022-02-23_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-23_to_2022-12-01_Index_3QRank","-74.5388"
"2022-02-23_to_2022-12-01_Crypto10_Index","-79.9416"
