"","2021-12-2022-12"
"Annualized Returns",
"2021-12-23_to_2022-12-01_Index_3QRank","-73.832"
"2021-12-23_to_2022-12-01_Crypto10_Index","-84.789"
"Volatility",
"2021-12-23_to_2022-12-01_Index_3QRank","70.65"
"2021-12-23_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-23_to_2022-12-01_Index_3QRank","49.71"
"2021-12-23_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-23_to_2022-12-01_Index_3QRank","0.22"
"2021-12-23_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-23_to_2022-12-01_Index_3QRank","-0.37"
"2021-12-23_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-23_to_2022-12-01_Index_3QRank","0.68"
"2021-12-23_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-23_to_2022-12-01_Index_3QRank","61.75"
"2021-12-23_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-23_to_2022-12-01_Index_3QRank","-77.9607"
"2021-12-23_to_2022-12-01_Crypto10_Index","-84.0788"
