"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-28_to_2022-12-01_Index_3QRank","-77.081","-62.469"
"2021-08-28_to_2022-12-01_Crypto10_Index","-85.498","-79.215"
"Volatility",,
"2021-08-28_to_2022-12-01_Index_3QRank","78.84","74.5"
"2021-08-28_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-28_to_2022-12-01_Index_3QRank","40.71","36.47"
"2021-08-28_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-28_to_2022-12-01_Index_3QRank","0.21","0.46"
"2021-08-28_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-28_to_2022-12-01_Index_3QRank","0.45","2.38"
"2021-08-28_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-28_to_2022-12-01_Index_3QRank","0.82","0.84"
"2021-08-28_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-28_to_2022-12-01_Index_3QRank","74.62","77.27"
"2021-08-28_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-28_to_2022-12-01_Index_3QRank","-81.0164","-82.8171"
"2021-08-28_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
