"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-14_to_2022-12-01_Index_3QRank","-74.902","-65.622"
"2021-10-14_to_2022-12-01_Crypto10_Index","-85.498","-83.183"
"Volatility",,
"2021-10-14_to_2022-12-01_Index_3QRank","77.44","71.26"
"2021-10-14_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-14_to_2022-12-01_Index_3QRank","46.05","43.07"
"2021-10-14_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-14_to_2022-12-01_Index_3QRank","0.23","0.41"
"2021-10-14_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-14_to_2022-12-01_Index_3QRank","0.51","1.05"
"2021-10-14_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-14_to_2022-12-01_Index_3QRank","0.77","0.76"
"2021-10-14_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-14_to_2022-12-01_Index_3QRank","67.7","67.85"
"2021-10-14_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-14_to_2022-12-01_Index_3QRank","-80.3954","-82.3311"
"2021-10-14_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
