"","2022-02-2022-12"
"Annualized Returns",
"2022-02-16_to_2022-12-01_Index_3QRank","-75.067"
"2022-02-16_to_2022-12-01_Crypto10_Index","-86.815"
"Volatility",
"2022-02-16_to_2022-12-01_Index_3QRank","81.33"
"2022-02-16_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-16_to_2022-12-01_Index_3QRank","41.35"
"2022-02-16_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-16_to_2022-12-01_Index_3QRank","0.28"
"2022-02-16_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-16_to_2022-12-01_Index_3QRank","1.24"
"2022-02-16_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-16_to_2022-12-01_Index_3QRank","0.78"
"2022-02-16_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-16_to_2022-12-01_Index_3QRank","77.57"
"2022-02-16_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-16_to_2022-12-01_Index_3QRank","-73.453"
"2022-02-16_to_2022-12-01_Crypto10_Index","-80.4106"
