"","2022-02-2022-12"
"Annualized Returns",
"2022-02-17_to_2022-12-01_Index_3QRank","-69.515"
"2022-02-17_to_2022-12-01_Crypto10_Index","-86.07"
"Volatility",
"2022-02-17_to_2022-12-01_Index_3QRank","77.92"
"2022-02-17_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-17_to_2022-12-01_Index_3QRank","47.46"
"2022-02-17_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-17_to_2022-12-01_Index_3QRank","0.35"
"2022-02-17_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-17_to_2022-12-01_Index_3QRank","1.14"
"2022-02-17_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-17_to_2022-12-01_Index_3QRank","0.72"
"2022-02-17_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-17_to_2022-12-01_Index_3QRank","70.45"
"2022-02-17_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-17_to_2022-12-01_Index_3QRank","-72.6861"
"2022-02-17_to_2022-12-01_Crypto10_Index","-79.9416"
