"","2022-03-2022-12"
"Annualized Returns",
"2022-03-14_to_2022-12-01_Index_3QRank","-74.347"
"2022-03-14_to_2022-12-01_Crypto10_Index","-86.311"
"Volatility",
"2022-03-14_to_2022-12-01_Index_3QRank","75.59"
"2022-03-14_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-14_to_2022-12-01_Index_3QRank","38.12"
"2022-03-14_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-14_to_2022-12-01_Index_3QRank","0.31"
"2022-03-14_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-14_to_2022-12-01_Index_3QRank","-2.67"
"2022-03-14_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-14_to_2022-12-01_Index_3QRank","0.72"
"2022-03-14_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-14_to_2022-12-01_Index_3QRank","85.42"
"2022-03-14_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-14_to_2022-12-01_Index_3QRank","-75.9482"
"2022-03-14_to_2022-12-01_Crypto10_Index","-79.9416"
