"","2022-03-2022-12"
"Annualized Returns",
"2022-03-18_to_2022-12-01_Index_3QRank","-77.815"
"2022-03-18_to_2022-12-01_Crypto10_Index","-87.522"
"Volatility",
"2022-03-18_to_2022-12-01_Index_3QRank","74.87"
"2022-03-18_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-18_to_2022-12-01_Index_3QRank","38.76"
"2022-03-18_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-18_to_2022-12-01_Index_3QRank","0.25"
"2022-03-18_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-18_to_2022-12-01_Index_3QRank","-2.72"
"2022-03-18_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-18_to_2022-12-01_Index_3QRank","0.71"
"2022-03-18_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-18_to_2022-12-01_Index_3QRank","85.03"
"2022-03-18_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-18_to_2022-12-01_Index_3QRank","-75.7361"
"2022-03-18_to_2022-12-01_Crypto10_Index","-79.9416"
