"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-23_to_2022-12-01_Index_3QRank","-73.933","-69.803"
"2021-10-23_to_2022-12-01_Crypto10_Index","-85.498","-83.893"
"Volatility",,
"2021-10-23_to_2022-12-01_Index_3QRank","71.97","66.14"
"2021-10-23_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-23_to_2022-12-01_Index_3QRank","46.52","43.39"
"2021-10-23_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-23_to_2022-12-01_Index_3QRank","0.25","0.32"
"2021-10-23_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-23_to_2022-12-01_Index_3QRank","-0.13","0.19"
"2021-10-23_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-23_to_2022-12-01_Index_3QRank","0.71","0.7"
"2021-10-23_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-23_to_2022-12-01_Index_3QRank","66.46","66.9"
"2021-10-23_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-23_to_2022-12-01_Index_3QRank","-79.6051","-82.0254"
"2021-10-23_to_2022-12-01_Crypto10_Index","-85.948","-87.1589"
