"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-05_to_2022-12-01_Index_3QRank","-77.204","-68.899"
"2021-09-05_to_2022-12-01_Crypto10_Index","-85.498","-82.412"
"Volatility",,
"2021-09-05_to_2022-12-01_Index_3QRank","79.45","77.27"
"2021-09-05_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-05_to_2022-12-01_Index_3QRank","40.11","36.71"
"2021-09-05_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-05_to_2022-12-01_Index_3QRank","0.21","0.37"
"2021-09-05_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-05_to_2022-12-01_Index_3QRank","0.46","1.9"
"2021-09-05_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-05_to_2022-12-01_Index_3QRank","0.83","0.85"
"2021-09-05_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-05_to_2022-12-01_Index_3QRank","75.4","78.35"
"2021-09-05_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-05_to_2022-12-01_Index_3QRank","-80.7874","-82.5466"
"2021-09-05_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
