"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-06_to_2022-12-01_Index_3QRank","-78.235","-36.951"
"2021-07-06_to_2022-12-01_Crypto10_Index","-85.498","-70.512"
"Volatility",,
"2021-07-06_to_2022-12-01_Index_3QRank","84.33","95.29"
"2021-07-06_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-06_to_2022-12-01_Index_3QRank","41.85","49.41"
"2021-07-06_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-06_to_2022-12-01_Index_3QRank","0.17","0.68"
"2021-07-06_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-06_to_2022-12-01_Index_3QRank","1.2","7.12"
"2021-07-06_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-06_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-06_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-06_to_2022-12-01_Index_3QRank","74.42","71.22"
"2021-07-06_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-06_to_2022-12-01_Index_3QRank","-82.4169","-83.5828"
"2021-07-06_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
