"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-22_to_2022-12-01_Index_3QRank","-78.303","-28.318"
"2021-07-22_to_2022-12-01_Crypto10_Index","-85.498","-70.858"
"Volatility",,
"2021-07-22_to_2022-12-01_Index_3QRank","84.41","95.8"
"2021-07-22_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-22_to_2022-12-01_Index_3QRank","42.06","50.06"
"2021-07-22_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-22_to_2022-12-01_Index_3QRank","0.17","0.85"
"2021-07-22_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-22_to_2022-12-01_Index_3QRank","1.15","7.23"
"2021-07-22_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-22_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-22_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-22_to_2022-12-01_Index_3QRank","74.19","70.78"
"2021-07-22_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-22_to_2022-12-01_Index_3QRank","-82.5277","-83.6654"
"2021-07-22_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
