"","2022-03-2022-12"
"Annualized Returns",
"2022-03-12_to_2022-12-01_Index_3QRank","-74.541"
"2022-03-12_to_2022-12-01_Crypto10_Index","-85.939"
"Volatility",
"2022-03-12_to_2022-12-01_Index_3QRank","70.84"
"2022-03-12_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-12_to_2022-12-01_Index_3QRank","42.55"
"2022-03-12_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-12_to_2022-12-01_Index_3QRank","0.27"
"2022-03-12_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-12_to_2022-12-01_Index_3QRank","-3.7"
"2022-03-12_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-12_to_2022-12-01_Index_3QRank","0.67"
"2022-03-12_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-12_to_2022-12-01_Index_3QRank","82.55"
"2022-03-12_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-12_to_2022-12-01_Index_3QRank","-75.7244"
"2022-03-12_to_2022-12-01_Crypto10_Index","-79.9416"
