"","2021-12-2022-12"
"Annualized Returns",
"2021-12-04_to_2022-12-01_Index_3QRank","-69.474"
"2021-12-04_to_2022-12-01_Crypto10_Index","-84.791"
"Volatility",
"2021-12-04_to_2022-12-01_Index_3QRank","72.68"
"2021-12-04_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-04_to_2022-12-01_Index_3QRank","48.75"
"2021-12-04_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-04_to_2022-12-01_Index_3QRank","0.31"
"2021-12-04_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-04_to_2022-12-01_Index_3QRank","0"
"2021-12-04_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-04_to_2022-12-01_Index_3QRank","0.7"
"2021-12-04_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-04_to_2022-12-01_Index_3QRank","63.33"
"2021-12-04_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-04_to_2022-12-01_Index_3QRank","-78.6022"
"2021-12-04_to_2022-12-01_Crypto10_Index","-85.5793"
