"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-13_to_2022-12-01_Index_3QRank","-74.988","-59.695"
"2021-09-13_to_2022-12-01_Crypto10_Index","-85.498","-80.502"
"Volatility",,
"2021-09-13_to_2022-12-01_Index_3QRank","79.68","78.45"
"2021-09-13_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-13_to_2022-12-01_Index_3QRank","45.45","41.58"
"2021-09-13_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-13_to_2022-12-01_Index_3QRank","0.23","0.5"
"2021-09-13_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-13_to_2022-12-01_Index_3QRank","0.85","3.11"
"2021-09-13_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-13_to_2022-12-01_Index_3QRank","0.8","0.83"
"2021-09-13_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-13_to_2022-12-01_Index_3QRank","68.91","72.85"
"2021-09-13_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-13_to_2022-12-01_Index_3QRank","-81.4317","-82.4736"
"2021-09-13_to_2022-12-01_Crypto10_Index","-85.948","-88.1183"
