"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-11_to_2022-12-01_Index_3QRank","-75.564","-65.944"
"2021-09-11_to_2022-12-01_Crypto10_Index","-85.498","-81.299"
"Volatility",,
"2021-09-11_to_2022-12-01_Index_3QRank","79.74","77.52"
"2021-09-11_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-11_to_2022-12-01_Index_3QRank","39.09","36.2"
"2021-09-11_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-11_to_2022-12-01_Index_3QRank","0.25","0.42"
"2021-09-11_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-11_to_2022-12-01_Index_3QRank","0.98","2.29"
"2021-09-11_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-11_to_2022-12-01_Index_3QRank","0.84","0.85"
"2021-09-11_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-11_to_2022-12-01_Index_3QRank","76.62","78.96"
"2021-09-11_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-11_to_2022-12-01_Index_3QRank","-80.1296","-82.1909"
"2021-09-11_to_2022-12-01_Crypto10_Index","-85.948","-88.1183"
