"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-08_to_2022-12-01_Index_3QRank","-74.379","-61.551"
"2021-10-08_to_2022-12-01_Crypto10_Index","-85.498","-82.388"
"Volatility",,
"2021-10-08_to_2022-12-01_Index_3QRank","76.17","71.5"
"2021-10-08_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-08_to_2022-12-01_Index_3QRank","46.19","43.85"
"2021-10-08_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-08_to_2022-12-01_Index_3QRank","0.24","0.48"
"2021-10-08_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-08_to_2022-12-01_Index_3QRank","0.33","1.69"
"2021-10-08_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-08_to_2022-12-01_Index_3QRank","0.76","0.76"
"2021-10-08_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-08_to_2022-12-01_Index_3QRank","67.32","66.79"
"2021-10-08_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-08_to_2022-12-01_Index_3QRank","-80.0195","-80.9622"
"2021-10-08_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
