"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-01_to_2022-12-01_Index_3QRank","-78.195","-73.526"
"2021-11-01_to_2022-12-01_Crypto10_Index","-85.498","-83.461"
"Volatility",,
"2021-11-01_to_2022-12-01_Index_3QRank","82.94","79.11"
"2021-11-01_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-01_to_2022-12-01_Index_3QRank","40.36","39.83"
"2021-11-01_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-01_to_2022-12-01_Index_3QRank","0.18","0.25"
"2021-11-01_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-01_to_2022-12-01_Index_3QRank","0.76","1.28"
"2021-11-01_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-01_to_2022-12-01_Index_3QRank","0.87","0.85"
"2021-11-01_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-01_to_2022-12-01_Index_3QRank","75.76","74.75"
"2021-11-01_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-01_to_2022-12-01_Index_3QRank","-81.6422","-82.634"
"2021-11-01_to_2022-12-01_Crypto10_Index","-85.948","-86.6628"
