"","2022-03-2022-12"
"Annualized Returns",
"2022-03-07_to_2022-12-01_Index_3QRank","-73.179"
"2022-03-07_to_2022-12-01_Crypto10_Index","-84.764"
"Volatility",
"2022-03-07_to_2022-12-01_Index_3QRank","70.87"
"2022-03-07_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-07_to_2022-12-01_Index_3QRank","42.7"
"2022-03-07_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-07_to_2022-12-01_Index_3QRank","0.27"
"2022-03-07_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-07_to_2022-12-01_Index_3QRank","-3.63"
"2022-03-07_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-07_to_2022-12-01_Index_3QRank","0.67"
"2022-03-07_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-07_to_2022-12-01_Index_3QRank","82.35"
"2022-03-07_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-07_to_2022-12-01_Index_3QRank","-75.6336"
"2022-03-07_to_2022-12-01_Crypto10_Index","-79.9416"
