"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-16_to_2022-12-01_Index_3QRank","-76.182","-63.773"
"2021-09-16_to_2022-12-01_Crypto10_Index","-85.498","-82.395"
"Volatility",,
"2021-09-16_to_2022-12-01_Index_3QRank","81.94","80.35"
"2021-09-16_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-16_to_2022-12-01_Index_3QRank","45.05","41.12"
"2021-09-16_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-16_to_2022-12-01_Index_3QRank","0.21","0.45"
"2021-09-16_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-16_to_2022-12-01_Index_3QRank","1.03","3.19"
"2021-09-16_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-16_to_2022-12-01_Index_3QRank","0.83","0.86"
"2021-09-16_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-16_to_2022-12-01_Index_3QRank","69.97","73.87"
"2021-09-16_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-16_to_2022-12-01_Index_3QRank","-81.6343","-82.5957"
"2021-09-16_to_2022-12-01_Crypto10_Index","-85.948","-88.1183"
