"","2021-12-2022-12"
"Annualized Returns",
"2021-12-08_to_2022-12-01_Index_3QRank","-71.938"
"2021-12-08_to_2022-12-01_Crypto10_Index","-85.6"
"Volatility",
"2021-12-08_to_2022-12-01_Index_3QRank","72.03"
"2021-12-08_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-08_to_2022-12-01_Index_3QRank","49.07"
"2021-12-08_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-08_to_2022-12-01_Index_3QRank","0.28"
"2021-12-08_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-08_to_2022-12-01_Index_3QRank","-0.25"
"2021-12-08_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-08_to_2022-12-01_Index_3QRank","0.69"
"2021-12-08_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-08_to_2022-12-01_Index_3QRank","62.8"
"2021-12-08_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-08_to_2022-12-01_Index_3QRank","-78.4348"
"2021-12-08_to_2022-12-01_Crypto10_Index","-85.5793"
