"","2022-02-2022-12"
"Annualized Returns",
"2022-02-28_to_2022-12-01_Index_3QRank","-75.095"
"2022-02-28_to_2022-12-01_Crypto10_Index","-86.212"
"Volatility",
"2022-02-28_to_2022-12-01_Index_3QRank","75.29"
"2022-02-28_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-28_to_2022-12-01_Index_3QRank","42.98"
"2022-02-28_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-28_to_2022-12-01_Index_3QRank","0.26"
"2022-02-28_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-28_to_2022-12-01_Index_3QRank","-0.17"
"2022-02-28_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-28_to_2022-12-01_Index_3QRank","0.72"
"2022-02-28_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-28_to_2022-12-01_Index_3QRank","76.51"
"2022-02-28_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-28_to_2022-12-01_Index_3QRank","-74.2685"
"2022-02-28_to_2022-12-01_Crypto10_Index","-79.9416"
