"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-20_to_2022-12-01_Index_3QRank","-75.715","-57.456"
"2021-08-20_to_2022-12-01_Crypto10_Index","-85.498","-77.68"
"Volatility",,
"2021-08-20_to_2022-12-01_Index_3QRank","74.54","71.63"
"2021-08-20_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-20_to_2022-12-01_Index_3QRank","46.85","41.45"
"2021-08-20_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-20_to_2022-12-01_Index_3QRank","0.21","0.49"
"2021-08-20_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-20_to_2022-12-01_Index_3QRank","-0.05","2.39"
"2021-08-20_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-20_to_2022-12-01_Index_3QRank","0.73","0.77"
"2021-08-20_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-20_to_2022-12-01_Index_3QRank","66.2","70.54"
"2021-08-20_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-20_to_2022-12-01_Index_3QRank","-81.0394","-82.7939"
"2021-08-20_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
