"","2022-02-2022-12"
"Annualized Returns",
"2022-02-01_to_2022-12-01_Index_3QRank","-70.37"
"2022-02-01_to_2022-12-01_Crypto10_Index","-83.692"
"Volatility",
"2022-02-01_to_2022-12-01_Index_3QRank","82.22"
"2022-02-01_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-01_to_2022-12-01_Index_3QRank","41.09"
"2022-02-01_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-01_to_2022-12-01_Index_3QRank","0.32"
"2022-02-01_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-01_to_2022-12-01_Index_3QRank","1.37"
"2022-02-01_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-01_to_2022-12-01_Index_3QRank","0.79"
"2022-02-01_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-01_to_2022-12-01_Index_3QRank","77.82"
"2022-02-01_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-01_to_2022-12-01_Index_3QRank","-73.4485"
"2022-02-01_to_2022-12-01_Crypto10_Index","-81.2244"
