"","2022-01-2022-12"
"Annualized Returns",
"2022-01-02_to_2022-12-01_Index_3QRank","-73.452"
"2022-01-02_to_2022-12-01_Crypto10_Index","-84.19"
"Volatility",
"2022-01-02_to_2022-12-01_Index_3QRank","70.34"
"2022-01-02_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-02_to_2022-12-01_Index_3QRank","49.57"
"2022-01-02_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-02_to_2022-12-01_Index_3QRank","0.22"
"2022-01-02_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-02_to_2022-12-01_Index_3QRank","1.09"
"2022-01-02_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-02_to_2022-12-01_Index_3QRank","0.66"
"2022-01-02_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-02_to_2022-12-01_Index_3QRank","65.21"
"2022-01-02_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-02_to_2022-12-01_Index_3QRank","-76.6325"
"2022-01-02_to_2022-12-01_Crypto10_Index","-82.5191"
