"","2022-02-04_to_2022-12-01_Index_3QRank","2022-02-04_to_2022-12-01_Crypto10_Index"
"2022-02-04",0,0
"2022-02-05",0,0
"2022-02-06",0,0
"2022-02-07",0,0
"2022-02-08",0,0
"2022-02-09",0,0
"2022-02-10",-3.856515617687,-0.519271770943497
"2022-02-11",-11.3260836886743,-11.1505925808324
"2022-02-12",-11.3596100026092,-11.1505925808324
"2022-02-13",-12.3750130065561,-11.1505925808324
"2022-02-14",-11.4570144659103,-9.26482842378791
"2022-02-15",-4.20287372226986,-4.70074062513175
"2022-02-16",-5.14518824370543,-4.15413828889314
"2022-02-17",-12.9220101689373,-8.71822608754931
"2022-02-18",-15.1112921188786,-9.81142179036282
"2022-02-19",-14.1313635256508,-9.81142179036282
"2022-02-20",-18.5119407740782,-9.81142179036282
"2022-02-21",-24.3747086578077,-9.81142179036282
"2022-02-22",-21.3512483508244,-16.9171893738188
"2022-02-23",-23.053115494132,-16.3159348766537
"2022-02-24",-21.6793930534672,-18.1470379031079
"2022-02-25",-17.5317723430007,-16.1246298892516
"2022-02-26",-17.1072017346834,-16.1246298892516
"2022-02-27",-21.5918223355145,-16.1246298892516
"2022-02-28",-12.3238837591684,-13.3096444515006
"2022-03-01",-12.1651994111921,-11.6698553821122
"2022-03-02",-13.2265784265796,-12.3531015751627
"2022-03-03",-16.03076720241,-14.8674507946674
"2022-03-04",-21.9291076594113,-19.8688186683817
"2022-03-05",-20.5077309255933,-19.8688186683817
"2022-03-06",-24.1173155916105,-19.8688186683817
"2022-03-07",-26.0683255222589,-22.4651595837717
"2022-03-08",-24.510289714691,-22.3285067572962
"2022-03-09",-19.3865412726082,-17.6277661321644
"2022-03-10",-23.71872170405,-19.1855724753312
"2022-03-11",-25.0343187033693,-19.9234797989719
"2022-03-12",-24.681248772802,-19.9234797989719
"2022-03-13",-27.1305088822774,-19.9234797989719
"2022-03-14",-24.9529245251321,-19.2402336059214
"2022-03-15",-24.1875778170155,-16.9171893738188
"2022-03-16",-20.0858341366336,-17.2178166224014
"2022-03-17",-19.8491036085145,-17.6004355668693
"2022-03-18",-16.7395144392358,-15.6326886836032
"2022-03-19",-14.0781485266114,-15.6326886836032
"2022-03-20",-16.5817142778329,-15.6326886836032
"2022-03-21",-14.823285996831,-15.6053581183081
"2022-03-22",-11.2426261845111,-14.1568740363218
"2022-03-23",-9.84044744783039,-17.1904860571063
"2022-03-24",-7.29096856265468,-12.7083899543355
"2022-03-25",-9.46867411033369,-9.4288028458949
"2022-03-26",-8.14802644865434,-9.4288028458949
"2022-03-27",-3.71236477942015,-9.4288028458949
"2022-03-28",-5.03395241377443,-8.44492940426185
"2022-03-29",-2.78146271906369,-6.3951908251104
"2022-03-30",-0.696299075692697,-8.44492940426185
"2022-03-31",-1.46818664699246,-11.8065082085877
"2022-04-01",0,-9.48346397648514
"2022-04-02",0,-9.48346397648514
"2022-04-03",0,-9.48346397648514
"2022-04-04",-2.11466281145635,-8.63624336132766
"2022-04-05",-5.62433260428943,-10.2213713001258
"2022-04-06",-14.0265745125302,-15.3867225656109
"2022-04-07",-11.1951192337918,-14.4848318501994
"2022-04-08",-15.3457295815752,-17.7097578280498
"2022-04-09",-13.8807130810189,-17.7097578280498
"2022-04-10",-15.3507487272781,-17.7097578280498
"2022-04-11",-22.9490171081387,-20.7980309794245
"2022-04-12",-20.5950113867265,-22.1098712045989
"2022-04-13",-16.8136363626453,-19.0762502141507
"2022-04-14",-19.3873434728785,-21.9458878128282
"2022-04-15",-18.1079213615323,-21.9458878128282
"2022-04-16",-17.6748517685733,-21.9458878128282
"2022-04-17",-20.3071595171714,-21.9458878128282
"2022-04-18",-17.9288611034123,-21.6179299989506
"2022-04-19",-16.263671277715,-19.9781409295621
"2022-04-20",-17.9696480343414,-19.2129030406263
"2022-04-21",-20.8923494304677,-20.0601236557838
"2022-04-22",-20.8505455201029,-22.2191844961157
"2022-04-23",-22.1100783183804,-22.2191844961157
"2022-04-24",-23.0610935482868,-22.2191844961157
"2022-04-25",-21.8073028366393,-22.6564645711738
"2022-04-26",-26.9969138899211,-26.2093483629018
"2022-04-27",-25.0531761233121,-25.6900765919583
"2022-04-28",-25.3988018790196,-23.4217024601097
"2022-04-29",-29.1784597960413,-27.9584596934707
"2022-04-30",-34.413499970738,-27.9584596934707
"2022-05-01",-32.0545596263715,-27.9584596934707
"2022-05-02",-32.1815021212367,-27.0292473824279
"2022-05-03",-32.9214523572046,-28.9423331351038
"2022-05-04",-27.0919360762345,-27.9584596934707
"2022-05-05",-33.8187774769068,-37.0046435948977
"2022-05-06",-34.7449058486439,-38.8357466213519
"2022-05-07",-36.4598248904496,-38.8357466213519
"2022-05-08",-38.8292329053185,-38.8357466213519
"2022-05-09",-48.6488815440335,-45.6955480868156
"2022-05-10",-46.2081177353442,-46.3241331492758
"2022-05-11",-57.1787771308723,-52.2273827687379
"2022-05-12",-59.0564803261408,-56.5728350146968
"2022-05-13",-56.4274585171131,-51.4894754450971
"2022-05-14",-54.6894478132784,-51.4894754450971
"2022-05-15",-51.8697268537608,-51.4894754450971
"2022-05-16",-55.598075323441,-47.1167016035068
"2022-05-17",-53.2611255338871,-46.1601497575051
"2022-05-18",-58.426670866805,-48.0732444798447
"2022-05-19",-56.383047893955,-48.701829542305
"2022-05-20",-58.0509366683943,-51.2708398923999
"2022-05-21",-57.3980769644075,-51.2708398923999
"2022-05-22",-55.6611277156599,-51.2708398923999
"2022-05-23",-57.9371950295666,-51.4894754450971
"2022-05-24",-57.164507567478,-52.1180694772211
"2022-05-25",-58.4589867238198,-52.0634083466309
"2022-05-26",-61.2371057987863,-54.2224691869628
"2022-05-27",-62.9695516904058,-56.7094878411724
"2022-05-28",-61.4276793991193,-56.7094878411724
"2022-05-29",-60.3468167444728,-56.7094878411724
"2022-05-30",-57.0636129763721,-56.7094878411724
"2022-05-31",-56.7734503439339,-56.2722077661142
"2022-06-01",-60.621388431695,-58.4585991717413
"2022-06-02",-59.6112737041411,-58.7592264203238
"2022-06-03",-61.3439928421771,-59.7157692966618
"2022-06-04",-60.0339764212897,-59.7157692966618
"2022-06-05",-60.364472627423,-59.7157692966618
"2022-06-06",-58.334998271859,-56.9827845244598
"2022-06-07",-58.503946268149,-57.2560812077473
"2022-06-08",-59.0028192973665,-57.9119968355027
"2022-06-09",-58.3583988111775,-59.0325231036113
"2022-06-10",-61.6164170006899,-59.8250915578422
"2022-06-11",-64.8646837547242,-59.8250915578422
"2022-06-12",-67.6571795643311,-59.8250915578422
"2022-06-13",-71.2678884160179,-65.5643667551973
"2022-06-14",-70.098188077462,-68.5159870800964
"2022-06-15",-68.1013755653849,-67.2588169551759
"2022-06-16",-72.2537585198809,-67.2314863898808
"2022-06-17",-71.126591967,-68.0240548441117
"2022-06-18",-72.644245037775,-68.0240548441117
