"","2022-01-2022-12"
"Annualized Returns",
"2022-01-03_to_2022-12-01_Index_3QRank","-73.471"
"2022-01-03_to_2022-12-01_Crypto10_Index","-84.305"
"Volatility",
"2022-01-03_to_2022-12-01_Index_3QRank","70.75"
"2022-01-03_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-03_to_2022-12-01_Index_3QRank","49.19"
"2022-01-03_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-03_to_2022-12-01_Index_3QRank","0.22"
"2022-01-03_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-03_to_2022-12-01_Index_3QRank","1.16"
"2022-01-03_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-03_to_2022-12-01_Index_3QRank","0.66"
"2022-01-03_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-03_to_2022-12-01_Index_3QRank","65.73"
"2022-01-03_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-03_to_2022-12-01_Index_3QRank","-76.5712"
"2022-01-03_to_2022-12-01_Crypto10_Index","-82.5191"
