"","2021-10-09_to_2022-12-01_Index_3QRank","2021-10-09_to_2022-12-01_Crypto10_Index"
"2021-10-09",0,0
"2021-10-10",-4.84047388420793,0
"2021-10-11",-4.37040837310547,0
"2021-10-12",-5.60465938773836,-7.82017363306557
"2021-10-13",-4.18787634272325,-5.0812167823601
"2021-10-14",-3.0137847682739,0
"2021-10-15",0,0
"2021-10-16",-1.13070557128252,0
"2021-10-17",-2.57181423663172,0
"2021-10-18",-2.81527372171492,-5.28232622741773
"2021-10-19",-1.83480912578623,-8.92531440950741
"2021-10-20",0,-6.73952718877843
"2021-10-21",0,-1.09288886992713
"2021-10-22",0,-2.55008983128783
"2021-10-23",0,-2.55008983128783
"2021-10-24",0,-2.55008983128783
"2021-10-25",0,-4.55373048717473
"2021-10-26",-0.764973783321887,-6.37522457821959
"2021-10-27",-8.32992373840514,-11.4754042407953
"2021-10-28",-0.95022577835614,-8.46993851652753
"2021-10-29",-0.00171052310875552,-7.10382031846258
"2021-10-30",-3.39148391302542,-7.10382031846258
"2021-10-31",-1.48960902255134,-7.10382031846258
"2021-11-01",-1.00317435126825,-9.47176358490833
"2021-11-02",0,-9.78141843366468
"2021-11-03",0,-8.92531440950741
"2021-11-04",-1.21106334919823,-8.43351299590901
"2021-11-05",-3.08440492264538,-9.10746097434949
"2021-11-06",-1.32200452864704,-9.10746097434949
"2021-11-07",0,-9.10746097434949
"2021-11-08",0,-6.17485577219353
"2021-11-09",0,-7.01274703604153
"2021-11-10",-3.1253670339073,-10.7468085005523
"2021-11-11",-1.57210831358408,-8.92531440950741
"2021-11-12",-4.01418853077078,-8.92531440950741
"2021-11-13",-0.403041503650481,-8.92531440950741
"2021-11-14",0,-8.92531440950741
"2021-11-15",-2.75723500422834,-9.39890306279657
"2021-11-16",-9.62588727316168,-11.1111111111111
"2021-11-17",-7.74520066781016,-15.6466288379766
"2021-11-18",-15.0741949415841,-17.1584680802651
"2021-11-19",-8.70074816038736,-13.75227422482
"2021-11-20",-4.7813622723377,-13.75227422482
"2021-11-21",-4.7842600512181,-13.75227422482
"2021-11-22",-7.38930242095207,-23.0418912448863
"2021-11-23",-5.96887904647599,-21.3114704362624
"2021-11-24",-8.75769639715667,-13.4790448966822
"2021-11-25",-6.36792439310955,-13.4790448966822
"2021-11-26",-15.7075356415012,-12.6229503533996
"2021-11-27",-13.676363994126,-12.6229503533996
"2021-11-28",-12.4017269560451,-12.6229503533996
"2021-11-29",-8.33679398800445,-9.50818910552687
"2021-11-30",-8.10191142006877,-9.10746097434949
"2021-12-01",-4.91509127251256,-10.9471773065783
"2021-12-02",-6.51944132853113,-11.2568226744599
"2021-12-03",-9.8314208575223,-16.3934373385289
"2021-12-04",-19.5290036291138,-16.3934373385289
"2021-12-05",-21.5153884806014,-16.3934373385289
"2021-12-06",-17.3569187919178,-17.1402553199558
