"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-24_to_2022-12-01_Index_3QRank","-76.654","-75.144"
"2021-11-24_to_2022-12-01_Crypto10_Index","-85.498","-84.53"
"Volatility",,
"2021-11-24_to_2022-12-01_Index_3QRank","80.66","76.94"
"2021-11-24_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-24_to_2022-12-01_Index_3QRank","39.78","39.25"
"2021-11-24_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-24_to_2022-12-01_Index_3QRank","0.22","0.24"
"2021-11-24_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-24_to_2022-12-01_Index_3QRank","0.87","1.37"
"2021-11-24_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-24_to_2022-12-01_Index_3QRank","0.84","0.83"
"2021-11-24_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-24_to_2022-12-01_Index_3QRank","75.97","75.02"
"2021-11-24_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-24_to_2022-12-01_Index_3QRank","-80.7143","-80.7143"
"2021-11-24_to_2022-12-01_Crypto10_Index","-85.948","-86.2325"
