"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-19_to_2022-12-01_Index_3QRank","-75.908","-62.841"
"2021-09-19_to_2022-12-01_Crypto10_Index","-85.498","-82.202"
"Volatility",,
"2021-09-19_to_2022-12-01_Index_3QRank","81.69","80.12"
"2021-09-19_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-19_to_2022-12-01_Index_3QRank","45.03","41"
"2021-09-19_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-19_to_2022-12-01_Index_3QRank","0.21","0.47"
"2021-09-19_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-19_to_2022-12-01_Index_3QRank","1.07","3.19"
"2021-09-19_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-19_to_2022-12-01_Index_3QRank","0.82","0.86"
"2021-09-19_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-19_to_2022-12-01_Index_3QRank","69.93","73.95"
"2021-09-19_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-19_to_2022-12-01_Index_3QRank","-81.5129","-82.5547"
"2021-09-19_to_2022-12-01_Crypto10_Index","-85.9481","-87.7888"
