"","2022-01-2022-12"
"Annualized Returns",
"2022-01-06_to_2022-12-01_Index_3QRank","-72.611"
"2022-01-06_to_2022-12-01_Crypto10_Index","-83.867"
"Volatility",
"2022-01-06_to_2022-12-01_Index_3QRank","74.75"
"2022-01-06_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-06_to_2022-12-01_Index_3QRank","46.12"
"2022-01-06_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-06_to_2022-12-01_Index_3QRank","0.24"
"2022-01-06_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-06_to_2022-12-01_Index_3QRank","1.75"
"2022-01-06_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-06_to_2022-12-01_Index_3QRank","0.72"
"2022-01-06_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-06_to_2022-12-01_Index_3QRank","69.74"
"2022-01-06_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-06_to_2022-12-01_Index_3QRank","-75.1189"
"2022-01-06_to_2022-12-01_Crypto10_Index","-82.5191"
