"","2022-01-2022-12"
"Annualized Returns",
"2022-01-13_to_2022-12-01_Index_3QRank","-72.688"
"2022-01-13_to_2022-12-01_Crypto10_Index","-84.655"
"Volatility",
"2022-01-13_to_2022-12-01_Index_3QRank","74.9"
"2022-01-13_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-13_to_2022-12-01_Index_3QRank","45.72"
"2022-01-13_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-13_to_2022-12-01_Index_3QRank","0.26"
"2022-01-13_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-13_to_2022-12-01_Index_3QRank","1.71"
"2022-01-13_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-13_to_2022-12-01_Index_3QRank","0.72"
"2022-01-13_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-13_to_2022-12-01_Index_3QRank","70.28"
"2022-01-13_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-13_to_2022-12-01_Index_3QRank","-75.2301"
"2022-01-13_to_2022-12-01_Crypto10_Index","-81.68"
