"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-04_to_2022-12-01_Index_3QRank","-74.708","-71.58"
"2021-11-04_to_2022-12-01_Crypto10_Index","-85.498","-83.859"
"Volatility",,
"2021-11-04_to_2022-12-01_Index_3QRank","76.35","72.9"
"2021-11-04_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-04_to_2022-12-01_Index_3QRank","46.92","45.54"
"2021-11-04_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-04_to_2022-12-01_Index_3QRank","0.23","0.27"
"2021-11-04_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-04_to_2022-12-01_Index_3QRank","0.39","0.72"
"2021-11-04_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-04_to_2022-12-01_Index_3QRank","0.75","0.74"
"2021-11-04_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-04_to_2022-12-01_Index_3QRank","66.36","66.19"
"2021-11-04_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-04_to_2022-12-01_Index_3QRank","-80.9002","-82.441"
"2021-11-04_to_2022-12-01_Crypto10_Index","-85.948","-86.6628"
