"","2022-02-2022-12"
"Annualized Returns",
"2022-02-15_to_2022-12-01_Index_3QRank","-75.359"
"2022-02-15_to_2022-12-01_Crypto10_Index","-86.626"
"Volatility",
"2022-02-15_to_2022-12-01_Index_3QRank","81.41"
"2022-02-15_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-15_to_2022-12-01_Index_3QRank","41.35"
"2022-02-15_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-15_to_2022-12-01_Index_3QRank","0.27"
"2022-02-15_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-15_to_2022-12-01_Index_3QRank","1.24"
"2022-02-15_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-15_to_2022-12-01_Index_3QRank","0.78"
"2022-02-15_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-15_to_2022-12-01_Index_3QRank","77.57"
"2022-02-15_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-15_to_2022-12-01_Index_3QRank","-73.477"
"2022-02-15_to_2022-12-01_Crypto10_Index","-80.4106"
