"","2021-12-2022-12"
"Annualized Returns",
"2021-12-13_to_2022-12-01_Index_3QRank","-66.265"
"2021-12-13_to_2022-12-01_Crypto10_Index","-84.114"
"Volatility",
"2021-12-13_to_2022-12-01_Index_3QRank","72.6"
"2021-12-13_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-13_to_2022-12-01_Index_3QRank","48.65"
"2021-12-13_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-13_to_2022-12-01_Index_3QRank","0.37"
"2021-12-13_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-13_to_2022-12-01_Index_3QRank","-0.15"
"2021-12-13_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-13_to_2022-12-01_Index_3QRank","0.7"
"2021-12-13_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-13_to_2022-12-01_Index_3QRank","63.46"
"2021-12-13_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-13_to_2022-12-01_Index_3QRank","-78.7054"
"2021-12-13_to_2022-12-01_Crypto10_Index","-84.2467"
