"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-04_to_2022-12-01_Index_3QRank","-78.314","-36.55"
"2021-07-04_to_2022-12-01_Crypto10_Index","-85.498","-69.409"
"Volatility",,
"2021-07-04_to_2022-12-01_Index_3QRank","84.44","95.48"
"2021-07-04_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-04_to_2022-12-01_Index_3QRank","41.99","49.76"
"2021-07-04_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-04_to_2022-12-01_Index_3QRank","0.17","0.66"
"2021-07-04_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-04_to_2022-12-01_Index_3QRank","1.18","7.18"
"2021-07-04_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-04_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-04_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-04_to_2022-12-01_Index_3QRank","74.28","70.93"
"2021-07-04_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-04_to_2022-12-01_Index_3QRank","-82.4998","-83.6134"
"2021-07-04_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
