"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-15_to_2022-12-01_Index_3QRank","-78.188","-28.641"
"2021-07-15_to_2022-12-01_Crypto10_Index","-85.498","-68.536"
"Volatility",,
"2021-07-15_to_2022-12-01_Index_3QRank","84.14","95.17"
"2021-07-15_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-15_to_2022-12-01_Index_3QRank","41.97","49.41"
"2021-07-15_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-15_to_2022-12-01_Index_3QRank","0.17","0.81"
"2021-07-15_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-15_to_2022-12-01_Index_3QRank","1.14","7.12"
"2021-07-15_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-15_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-15_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-15_to_2022-12-01_Index_3QRank","74.22","71.15"
"2021-07-15_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-15_to_2022-12-01_Index_3QRank","-82.454","-83.6298"
"2021-07-15_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
