"","2022-01-2022-12"
"Annualized Returns",
"2022-01-19_to_2022-12-01_Index_3QRank","-72.2"
"2022-01-19_to_2022-12-01_Crypto10_Index","-84.828"
"Volatility",
"2022-01-19_to_2022-12-01_Index_3QRank","75.58"
"2022-01-19_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-19_to_2022-12-01_Index_3QRank","44.96"
"2022-01-19_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-19_to_2022-12-01_Index_3QRank","0.28"
"2022-01-19_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-19_to_2022-12-01_Index_3QRank","1.79"
"2022-01-19_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-19_to_2022-12-01_Index_3QRank","0.73"
"2022-01-19_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-19_to_2022-12-01_Index_3QRank","71.26"
"2022-01-19_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-19_to_2022-12-01_Index_3QRank","-73.1303"
"2022-01-19_to_2022-12-01_Crypto10_Index","-81.2244"
