"","2022-02-2022-12"
"Annualized Returns",
"2022-02-10_to_2022-12-01_Index_3QRank","-72.895"
"2022-02-10_to_2022-12-01_Crypto10_Index","-86.879"
"Volatility",
"2022-02-10_to_2022-12-01_Index_3QRank","78.22"
"2022-02-10_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-10_to_2022-12-01_Index_3QRank","46.9"
"2022-02-10_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-10_to_2022-12-01_Index_3QRank","0.3"
"2022-02-10_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-10_to_2022-12-01_Index_3QRank","1.1"
"2022-02-10_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-10_to_2022-12-01_Index_3QRank","0.73"
"2022-02-10_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-10_to_2022-12-01_Index_3QRank","71.15"
"2022-02-10_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-10_to_2022-12-01_Index_3QRank","-72.9225"
"2022-02-10_to_2022-12-01_Crypto10_Index","-81.1264"
