"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-11_to_2022-12-01_Index_3QRank","-76.801","-64.025"
"2021-10-11_to_2022-12-01_Crypto10_Index","-85.498","-82.864"
"Volatility",,
"2021-10-11_to_2022-12-01_Index_3QRank","82.62","77.57"
"2021-10-11_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-11_to_2022-12-01_Index_3QRank","46.35","44.32"
"2021-10-11_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-11_to_2022-12-01_Index_3QRank","0.19","0.43"
"2021-10-11_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-11_to_2022-12-01_Index_3QRank","0.76","2.28"
"2021-10-11_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-11_to_2022-12-01_Index_3QRank","0.83","0.83"
"2021-10-11_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-11_to_2022-12-01_Index_3QRank","68.55","67.77"
"2021-10-11_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-11_to_2022-12-01_Index_3QRank","-81.9428","-82.7273"
"2021-10-11_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
