"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-23_to_2022-12-01_Index_3QRank","-73.737","-58.262"
"2021-09-23_to_2022-12-01_Crypto10_Index","-85.498","-79.623"
"Volatility",,
"2021-09-23_to_2022-12-01_Index_3QRank","75.12","76.31"
"2021-09-23_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-23_to_2022-12-01_Index_3QRank","43.22","39.62"
"2021-09-23_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-23_to_2022-12-01_Index_3QRank","0.27","0.54"
"2021-09-23_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-23_to_2022-12-01_Index_3QRank","0.63","3.23"
"2021-09-23_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-23_to_2022-12-01_Index_3QRank","0.76","0.82"
"2021-09-23_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-23_to_2022-12-01_Index_3QRank","71.11","74.82"
"2021-09-23_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-23_to_2022-12-01_Index_3QRank","-79.3341","-80.5764"
"2021-09-23_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
