"","2022-01-2022-12"
"Annualized Returns",
"2022-01-04_to_2022-12-01_Index_3QRank","-74.232"
"2022-01-04_to_2022-12-01_Crypto10_Index","-84.869"
"Volatility",
"2022-01-04_to_2022-12-01_Index_3QRank","74.65"
"2022-01-04_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-04_to_2022-12-01_Index_3QRank","46.29"
"2022-01-04_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-04_to_2022-12-01_Index_3QRank","0.23"
"2022-01-04_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-04_to_2022-12-01_Index_3QRank","1.76"
"2022-01-04_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-04_to_2022-12-01_Index_3QRank","0.72"
"2022-01-04_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-04_to_2022-12-01_Index_3QRank","69.53"
"2022-01-04_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-04_to_2022-12-01_Index_3QRank","-76.3587"
"2022-01-04_to_2022-12-01_Crypto10_Index","-82.5191"
