"","2022-02-2022-12"
"Annualized Returns",
"2022-02-24_to_2022-12-01_Index_3QRank","-70.439"
"2022-02-24_to_2022-12-01_Crypto10_Index","-84.714"
"Volatility",
"2022-02-24_to_2022-12-01_Index_3QRank","75.23"
"2022-02-24_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-24_to_2022-12-01_Index_3QRank","43.01"
"2022-02-24_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-24_to_2022-12-01_Index_3QRank","0.33"
"2022-02-24_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-24_to_2022-12-01_Index_3QRank","-0.17"
"2022-02-24_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-24_to_2022-12-01_Index_3QRank","0.72"
"2022-02-24_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-24_to_2022-12-01_Index_3QRank","76.47"
"2022-02-24_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-24_to_2022-12-01_Index_3QRank","-74.2109"
"2022-02-24_to_2022-12-01_Crypto10_Index","-79.9416"
